image,volumn,label
train_set/0\0.png,train_set/0\0.pt,0
train_set/1\1.png,train_set/1\1.pt,0
train_set/2\2.png,train_set/2\2.pt,0
train_set/3\3.png,train_set/3\3.pt,0
train_set/4\4.png,train_set/4\4.pt,0
train_set/5\5.png,train_set/5\5.pt,0
train_set/6\6.png,train_set/6\6.pt,0
train_set/7\7.png,train_set/7\7.pt,0
train_set/8\8.png,train_set/8\8.pt,0
train_set/9\9.png,train_set/9\9.pt,0
train_set/10\10.png,train_set/10\10.pt,0
train_set/11\11.png,train_set/11\11.pt,0
train_set/12\12.png,train_set/12\12.pt,0
train_set/13\13.png,train_set/13\13.pt,0
train_set/14\14.png,train_set/14\14.pt,0
train_set/15\15.png,train_set/15\15.pt,0
train_set/16\16.png,train_set/16\16.pt,0
train_set/17\17.png,train_set/17\17.pt,0
train_set/18\18.png,train_set/18\18.pt,0
train_set/19\19.png,train_set/19\19.pt,0
train_set/20\20.png,train_set/20\20.pt,0
train_set/21\21.png,train_set/21\21.pt,0
train_set/22\22.png,train_set/22\22.pt,0
train_set/23\23.png,train_set/23\23.pt,0
train_set/24\24.png,train_set/24\24.pt,0
train_set/25\25.png,train_set/25\25.pt,0
train_set/26\26.png,train_set/26\26.pt,0
train_set/27\27.png,train_set/27\27.pt,0
train_set/28\28.png,train_set/28\28.pt,0
train_set/29\29.png,train_set/29\29.pt,0
train_set/30\30.png,train_set/30\30.pt,0
train_set/31\31.png,train_set/31\31.pt,0
train_set/32\32.png,train_set/32\32.pt,0
train_set/33\33.png,train_set/33\33.pt,0
train_set/34\34.png,train_set/34\34.pt,0
train_set/35\35.png,train_set/35\35.pt,0
train_set/36\36.png,train_set/36\36.pt,0
train_set/37\37.png,train_set/37\37.pt,0
train_set/38\38.png,train_set/38\38.pt,0
train_set/39\39.png,train_set/39\39.pt,0
train_set/40\40.png,train_set/40\40.pt,0
train_set/41\41.png,train_set/41\41.pt,0
train_set/42\42.png,train_set/42\42.pt,0
train_set/43\43.png,train_set/43\43.pt,0
train_set/44\44.png,train_set/44\44.pt,0
train_set/45\45.png,train_set/45\45.pt,0
train_set/46\46.png,train_set/46\46.pt,0
train_set/47\47.png,train_set/47\47.pt,0
train_set/48\48.png,train_set/48\48.pt,0
train_set/49\49.png,train_set/49\49.pt,0
train_set/50\50.png,train_set/50\50.pt,0
train_set/51\51.png,train_set/51\51.pt,0
train_set/52\52.png,train_set/52\52.pt,0
train_set/53\53.png,train_set/53\53.pt,0
train_set/54\54.png,train_set/54\54.pt,0
train_set/55\55.png,train_set/55\55.pt,0
train_set/56\56.png,train_set/56\56.pt,0
train_set/57\57.png,train_set/57\57.pt,0
train_set/58\58.png,train_set/58\58.pt,0
train_set/59\59.png,train_set/59\59.pt,0
train_set/60\60.png,train_set/60\60.pt,0
train_set/61\61.png,train_set/61\61.pt,0
train_set/62\62.png,train_set/62\62.pt,0
train_set/63\63.png,train_set/63\63.pt,0
train_set/64\64.png,train_set/64\64.pt,0
train_set/65\65.png,train_set/65\65.pt,0
train_set/66\66.png,train_set/66\66.pt,0
train_set/67\67.png,train_set/67\67.pt,0
train_set/68\68.png,train_set/68\68.pt,0
train_set/69\69.png,train_set/69\69.pt,0
train_set/70\70.png,train_set/70\70.pt,0
train_set/71\71.png,train_set/71\71.pt,0
train_set/72\72.png,train_set/72\72.pt,0
train_set/73\73.png,train_set/73\73.pt,0
train_set/74\74.png,train_set/74\74.pt,0
train_set/75\75.png,train_set/75\75.pt,0
train_set/76\76.png,train_set/76\76.pt,0
train_set/77\77.png,train_set/77\77.pt,0
train_set/78\78.png,train_set/78\78.pt,0
train_set/79\79.png,train_set/79\79.pt,0
train_set/80\80.png,train_set/80\80.pt,0
train_set/81\81.png,train_set/81\81.pt,0
train_set/82\82.png,train_set/82\82.pt,0
train_set/83\83.png,train_set/83\83.pt,0
train_set/84\84.png,train_set/84\84.pt,0
train_set/85\85.png,train_set/85\85.pt,0
train_set/86\86.png,train_set/86\86.pt,0
train_set/87\87.png,train_set/87\87.pt,0
train_set/88\88.png,train_set/88\88.pt,0
train_set/89\89.png,train_set/89\89.pt,0
train_set/90\90.png,train_set/90\90.pt,0
train_set/91\91.png,train_set/91\91.pt,0
train_set/92\92.png,train_set/92\92.pt,0
train_set/93\93.png,train_set/93\93.pt,0
train_set/94\94.png,train_set/94\94.pt,0
train_set/95\95.png,train_set/95\95.pt,0
train_set/96\96.png,train_set/96\96.pt,0
train_set/97\97.png,train_set/97\97.pt,0
train_set/98\98.png,train_set/98\98.pt,0
train_set/99\99.png,train_set/99\99.pt,0
train_set/100\100.png,train_set/100\100.pt,0
train_set/101\101.png,train_set/101\101.pt,0
train_set/102\102.png,train_set/102\102.pt,0
train_set/103\103.png,train_set/103\103.pt,0
train_set/104\104.png,train_set/104\104.pt,0
train_set/105\105.png,train_set/105\105.pt,0
train_set/106\106.png,train_set/106\106.pt,0
train_set/107\107.png,train_set/107\107.pt,0
train_set/108\108.png,train_set/108\108.pt,0
train_set/109\109.png,train_set/109\109.pt,0
train_set/110\110.png,train_set/110\110.pt,0
train_set/111\111.png,train_set/111\111.pt,0
train_set/112\112.png,train_set/112\112.pt,0
train_set/113\113.png,train_set/113\113.pt,0
train_set/114\114.png,train_set/114\114.pt,0
train_set/115\115.png,train_set/115\115.pt,0
train_set/116\116.png,train_set/116\116.pt,0
train_set/117\117.png,train_set/117\117.pt,0
train_set/118\118.png,train_set/118\118.pt,0
train_set/119\119.png,train_set/119\119.pt,0
train_set/120\120.png,train_set/120\120.pt,0
train_set/121\121.png,train_set/121\121.pt,0
train_set/122\122.png,train_set/122\122.pt,0
train_set/123\123.png,train_set/123\123.pt,0
train_set/124\124.png,train_set/124\124.pt,0
train_set/125\125.png,train_set/125\125.pt,0
train_set/126\126.png,train_set/126\126.pt,0
train_set/127\127.png,train_set/127\127.pt,0
train_set/128\128.png,train_set/128\128.pt,0
train_set/129\129.png,train_set/129\129.pt,0
train_set/130\130.png,train_set/130\130.pt,0
train_set/131\131.png,train_set/131\131.pt,0
train_set/132\132.png,train_set/132\132.pt,0
train_set/133\133.png,train_set/133\133.pt,0
train_set/134\134.png,train_set/134\134.pt,0
train_set/135\135.png,train_set/135\135.pt,0
train_set/136\136.png,train_set/136\136.pt,0
train_set/137\137.png,train_set/137\137.pt,0
train_set/138\138.png,train_set/138\138.pt,0
train_set/139\139.png,train_set/139\139.pt,0
train_set/140\140.png,train_set/140\140.pt,0
train_set/141\141.png,train_set/141\141.pt,0
train_set/142\142.png,train_set/142\142.pt,0
train_set/143\143.png,train_set/143\143.pt,0
train_set/144\144.png,train_set/144\144.pt,0
train_set/145\145.png,train_set/145\145.pt,0
train_set/146\146.png,train_set/146\146.pt,0
train_set/147\147.png,train_set/147\147.pt,0
train_set/148\148.png,train_set/148\148.pt,0
train_set/149\149.png,train_set/149\149.pt,0
train_set/150\150.png,train_set/150\150.pt,0
train_set/151\151.png,train_set/151\151.pt,0
train_set/152\152.png,train_set/152\152.pt,0
train_set/153\153.png,train_set/153\153.pt,0
train_set/154\154.png,train_set/154\154.pt,0
train_set/155\155.png,train_set/155\155.pt,0
train_set/156\156.png,train_set/156\156.pt,0
train_set/157\157.png,train_set/157\157.pt,0
train_set/158\158.png,train_set/158\158.pt,0
train_set/159\159.png,train_set/159\159.pt,0
train_set/160\160.png,train_set/160\160.pt,0
train_set/161\161.png,train_set/161\161.pt,0
train_set/162\162.png,train_set/162\162.pt,0
train_set/163\163.png,train_set/163\163.pt,0
train_set/164\164.png,train_set/164\164.pt,0
train_set/165\165.png,train_set/165\165.pt,0
train_set/166\166.png,train_set/166\166.pt,0
train_set/167\167.png,train_set/167\167.pt,0
train_set/168\168.png,train_set/168\168.pt,0
train_set/169\169.png,train_set/169\169.pt,0
train_set/170\170.png,train_set/170\170.pt,0
train_set/171\171.png,train_set/171\171.pt,0
train_set/172\172.png,train_set/172\172.pt,0
train_set/173\173.png,train_set/173\173.pt,0
train_set/174\174.png,train_set/174\174.pt,0
train_set/175\175.png,train_set/175\175.pt,0
train_set/176\176.png,train_set/176\176.pt,0
train_set/177\177.png,train_set/177\177.pt,0
train_set/178\178.png,train_set/178\178.pt,0
train_set/179\179.png,train_set/179\179.pt,0
train_set/180\180.png,train_set/180\180.pt,0
train_set/181\181.png,train_set/181\181.pt,0
